Computer 1151;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;26/06/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1152;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;21/09/2021;26/06/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1153;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;26/06/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1154;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;26/06/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1156;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;26/06/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1157;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;26/06/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1164;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1170;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;25/10/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1171;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;25/10/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1173;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;04/08/2022;06/12/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1174;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;06/12/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1179;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;21/03/2022;21/03/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1180;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;09/02/2022;10/04/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1181;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;10/04/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1182;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VEYRINS;;10/04/2019;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1243;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;23/08/2021;01/06/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1244;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;01/06/2021;01/06/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1247;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;26/06/2021;26/06/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1284;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;17/08/2022;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1285;Production;Operational;DELL;Precision T5820;Standard workstations;POMA SAS;FRA-VOREPPE;30/12/2021;14/08/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1752;Inactive;Operational;DELL;Precision T5820;Standard workstations;PRINOTH SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1315;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;29/06/2021;Shared;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1755;Inactive;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;AUT-TELFS;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1655;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
